censustract,totalbuildinginsurancecoverage,policycount
48201313300,1026228600,5552
48201313400,394783200,2430
48201313500,307970600,2074
48201313600,612389400,3468
48201313700,418658800,2690
48201313800,177887200,1210
48201313801,50772000,256
48201313802,37858000,260
48201313900,202941200,1454
48201313901,256118000,844
48201313902,87062000,710
48201314000,2947400,14
48201314001,354859200,2876
48201314002,223736800,1894
48201314003,204654000,590
48201314005,103122000,784
48201314300,80044000,462
48201314301,15136000,110
48201314302,19378000,130
48201314400,335591000,10834
48201314401,46236000,1770
48201314402,1287423000,11186
48201320100,472985800,5140
48201320200,389182800,2114
48201320201,60352200,322
48201320202,134142000,740
48201320500,511948400,3570
48201320601,291753600,1550
48201320602,204250200,1168
48201320700,742712400,3470
48201320800,1973348600,12680
48201320900,1682195200,14256
48201320901,289819200,2106
48201320902,1114587200,7228
48201321000,1582832400,11788
48201321001,144724000,854
48201321002,1218201800,7018
48201321100,1047470400,6476
48201321101,362112000,1276
48201321102,710868200,3958
48201321200,536191000,2230
48201321300,1363532400,7662
48201321301,887150000,2146
48201321302,317965600,1780
48201321401,779582000,4942
48201321402,1158483400,7278
48201321500,511496200,2224
48201321600,2606043600,14014
48201321700,1142846800,6108
48201321800,487604200,3310
48201321900,806454200,5498
48201322000,95251000,510
48201322100,519999800,3140
48201322200,184673400,1058
48201322600,1896661200,11392
48201322700,1089327200,7118
48201322701,226040000,1184
48201322702,643878000,3554
48201322800,1299154200,8648
48201322900,345037200,2326
48201323000,336270200,1814
48201323100,320143600,1772
48201323200,1583451400,9040
48201323300,456830800,2464
48201323400,1275571000,8084
48201323500,1225639600,6200
48201323600,2012387000,11782
48201323601,420000000,2268
48201323602,1479860000,7214
48201323700,300000,6
48201323701,2278013600,9282
48201323702,1673389000,8282
48201323801,1443365000,8524
48201323802,1697028600,9308
48201323900,423307200,2374
48201324000,5014834600,24140
48201324100,323016000,1948
48201324101,169241400,868
48201324102,182723200,528
48201324200,92489200,522
48201330100,1375724600,9962
48201330101,287574400,1724
48201330102,226753200,1314
48201330200,863355000,4366
48201330301,661066200,3612
48201330302,1792941200,11160
48201330303,710063400,3196
48201330400,1385854200,7600
48201330500,1086288600,8074
48201330600,2154142200,15646
48201330700,618925400,3768
48201330800,2900311000,15712
48201330801,390316600,1792
48201330802,2030226600,9802
48201330900,1268417800,6896
48201330901,830202000,3878
48201330902,78411000,444
48201331100,425439000,2480
48201331200,292821400,1806
48201331300,930482800,7104
48201331400,125316400,492
48201331500,1288960800,7744
48201331501,448662000,2198
48201331502,450796000,2198
48201331601,755256800,4692
48201331602,185699800,844
48201331603,525602000,2786
48201331604,242558000,1282
48201331700,888630200,6492
48201331800,663394000,4592
48201331900,402702400,3108
48201332000,742815000,4844
48201332100,224868200,1652
48201332200,605550200,4414
48201332300,805418600,8066
48201332400,980724600,7368
48201332500,1005492800,5932
48201332600,1229473200,7402
48201332700,527584200,2928
48201332800,481816000,2950
48201332900,1299980800,9098
48201333000,469147800,2544
48201333100,906185800,4158
48201333201,605120200,3312
48201333202,614925200,3300
48201333203,599431200,3022
48201333204,0,16
48201333205,4872000,22
48201333300,1271729000,5654
48201333301,85406000,496
48201333302,643169600,2818
48201333500,470414400,2480
48201333501,128270000,610
48201333502,233626000,1056
48201333600,1168178000,5852
48201333700,599961400,3590
48201333800,1662069200,9804
48201333801,372494800,1690
48201333802,1410728000,6890
48201333901,1306733200,7094
48201333902,994255800,6448
48201333903,264102200,1306
48201333904,538324600,3050
48201333905,380918400,1710
48201333906,494634400,2302
48201334001,544427000,3384
48201334002,479423200,2564
48201334003,2982620000,15964
48201334100,1915131000,10028
48201334101,721684000,2570
48201334102,995624200,4812
48201340100,1016916800,5436
48201340101,146765000,484
48201340102,870585400,3718
48201340200,1000000,4
48201340201,1222044000,5500
48201340202,9072331400,37818
48201340203,8632677600,35304
48201340300,500000,2
48201340301,8577935600,34796
48201340302,10732991800,46908
48201340400,3159969400,12916
48201340500,2433003800,13042
48201340501,1913022000,8694
